states,high_school_or_equal_2019,bachelors_or_higher_2019,population_18-24_2019,high_school_or_equal_2021,bachelors_or_higher_2021,population_18-24_2021
Alabama,158761,34996,457530,170023,42643,468727
Alaska,27173,3121,67738,33691,2377,67493
Arizona,246748,69933,694529,244573,71571,681735
Arkansas,97402,25465,282336,113873,27533,284335
California,1151214,427410,3683287,1215035,434774,3558188
Colorado,167955,72398,527473,184891,74091,525940
Connecticut,102175,56431,341435,106131,62531,343982
Delaware,26864,8262,82507,30317,7890,83763
Florida,565965,187532,1761280,586777,199597,1731183
Georgia,355413,103363,1034172,389938,115177,1043171
Hawaii,51471,9786,119017,50012,15926,115665
Idaho,62538,12857,166713,70741,11588,173371
Illinois,342491,171311,1162448,370612,185926,1140595
Indiana,235436,71209,662783,241977,77970,660956
Iowa,91070,31429,310236,97952,36675,318834
Kansas,92290,31534,294932,92235,36225,290243
Kentucky,154324,40426,417406,161223,47557,416072
Louisiana,148611,36144,423707,163451,36431,424818
Maine,36951,13681,106707,41698,10010,107494
Maryland,161982,84975,529535,173735,89768,531772
Massachusetts,186819,134736,690150,209155,132633,688028
Michigan,308027,110041,949408,318898,112790,926979
Minnesota,144744,74069,489751,156547,67031,499667
Mississippi,84574,20263,298065,99518,24818,289913
Missouri,188594,65355,558571,187113,71365,558016
Montana,35316,9505,100304,40818,12803,102666
Nebraska,54485,26974,187542,56117,28193,188954
Nevada,106726,16539,252953,108700,20822,253546
New Hampshire,39725,15431,123941,42732,18169,124420
New Jersey,220673,140579,752937,237931,149546,771827
New Mexico,71806,15118,196991,71601,15857,193520
New York,498422,324680,1766731,519638,331316,1745253
North Carolina,320704,108514,1007035,344120,125122,1005784
North Dakota,21467,10342,80981,24278,11300,85620
Ohio,379815,108016,1064448,396138,131320,1058634
Oklahoma,136359,32682,385498,156286,30687,388812
Oregon,114446,39188,366803,128564,35734,356854
Pennsylvania,398207,153802,1141628,414582,155459,1127884
Rhode Island,35145,13633,108834,36109,17526,113825
South Carolina,166144,44576,473210,166475,54260,476311
South Dakota,27882,8527,81361,27512,8732,84378
Tennessee,216695,71477,624460,239537,74275,623070
Texas,977096,267539,2826700,1040301,311171,2846706
Utah,120041,25653,364058,134017,28861,381791
Vermont,21257,7830,64872,20348,9387,66098
Virginia,273942,105794,805157,290059,113847,817784
Washington,217078,77397,661604,230302,86301,661761
West Virginia,59355,15189,152243,67383,15124,156128
Wisconsin,181487,64092,543737,195194,72354,544964
Wyoming,18432,4870,54723,19215,5194,51926
