states,high_school_or_equal_2019,bachelors_or_higher_2019,population_18-24_2019,high_school_or_equal_2021,bachelors_or_higher_2021,population_18-24_2021,hs_percent_2019,bachelor_percent_2019,hs_percent_2021,bachelor_percent_2021
Alabama,158761,34996,457530,170023,42643,468727,34.69958254103556,7.648897340065132,36.27335314586102,9.097619723207751
Alaska,27173,3121,67738,33691,2377,67493,40.11485429153503,4.607458147568573,49.91776925014446,3.5218467100291884
Arizona,246748,69933,694529,244573,71571,681735,35.52738618545806,10.069125983220282,35.87508342684474,10.498360800017602
Arkansas,97402,25465,282336,113873,27533,284335,34.498611583361665,9.019395330386489,40.048885997151245,9.683296111980587
California,1151214,427410,3683287,1215035,434774,3558188,31.255071896379512,11.60403737205382,34.1475773624103,12.218972128510353
Colorado,167955,72398,527473,184891,74091,525940,31.841440225376466,13.725441870958324,35.15439023462753,14.087348366733849
Connecticut,102175,56431,341435,106131,62531,343982,29.925168772972892,16.527596760730447,30.85364931885971,18.17856748318226
Delaware,26864,8262,82507,30317,7890,83763,32.55966160446992,10.013695807628444,36.19378484533744,9.419433401382472
Florida,565965,187532,1761280,586777,199597,1731183,32.13373228561046,10.647483648255813,33.89456804970936,11.529514788442354
Georgia,355413,103363,1034172,389938,115177,1043171,34.366913820911805,9.994759092297993,37.380065205033496,11.041046961619907
Hawaii,51471,9786,119017,50012,15926,115665,43.246763067460954,8.222354789651899,43.238663381316734,13.769074482341246
Idaho,62538,12857,166713,70741,11588,173371,37.51237156070613,7.712056048418539,40.803248524839795,6.6839321455145315
Illinois,342491,171311,1162448,370612,185926,1140595,29.462909308631442,14.737089314962907,32.49286556577927,16.300790376952378
Indiana,235436,71209,662783,241977,77970,660956,35.522335364666866,10.743938815570104,36.61015256688796,11.796549240796663
Iowa,91070,31429,310236,97952,36675,318834,29.35507162289354,10.130674712154617,30.721943080098107,11.502851013380003
Kansas,92290,31534,294932,92235,36225,290243,31.291958824406983,10.691956111917325,31.778544185389485,12.480921159166629
Kentucky,154324,40426,417406,161223,47557,416072,36.972156605319526,9.68505483869422,38.748822319213986,11.42999288584668
Louisiana,148611,36144,423707,163451,36431,424818,35.07400160960286,8.530423146183566,38.47553540575023,8.575672405594867
Maine,36951,13681,106707,41698,10010,107494,34.628468610306726,12.82108952552316,38.79100228849982,9.312147654752824
Maryland,161982,84975,529535,173735,89768,531772,30.589479448950495,16.047097925538445,32.67095672581482,16.880918890050623
Massachusetts,186819,134736,690150,209155,132633,688028,27.069332753749187,19.52271245381439,30.39919886981344,19.277267785613375
Michigan,308027,110041,949408,318898,112790,926979,32.444112541710204,11.590485860662644,34.401858078769855,12.167481679736003
Minnesota,144744,74069,489751,156547,67031,499667,29.55461040406247,15.123807812541475,31.330265957127445,13.41513447956339
Mississippi,84574,20263,298065,99518,24818,289913,28.37434787714089,6.798181604683543,34.32684977907165,8.56049918423803
Missouri,188594,65355,558571,187113,71365,558016,33.763657619174644,11.700392608996887,33.53183421263907,12.789059811905034
Montana,35316,9505,100304,40818,12803,102666,35.20896474716861,9.476192375179455,39.7580503769505,12.470535522957942
Nebraska,54485,26974,187542,56117,28193,188954,29.05215898305446,14.382911561143638,29.698762661811866,14.920562676630292
Nevada,106726,16539,252953,108700,20822,253546,42.19202776800433,6.538368787877589,42.87190490088584,8.212316502725344
New Hampshire,39725,15431,123941,42732,18169,124420,32.0515406524072,12.450278761668859,34.3449606172641,14.60295772383861
New Jersey,220673,140579,752937,237931,149546,771827,29.30829538195095,18.67075200182751,30.82698584009111,19.375585461508862
New Mexico,71806,15118,196991,71601,15857,193520,36.451411485803916,7.674462285079013,36.999276560562215,8.193985117817281
New York,498422,324680,1766731,519638,331316,1745253,28.211538711892192,18.37744399119051,29.774365092052555,18.983837873362774
North Carolina,320704,108514,1007035,344120,125122,1005784,31.846360851410328,10.775593698332232,34.21410561313363,12.44024561933775
North Dakota,21467,10342,80981,24278,11300,85620,26.508687222928835,12.770896877045232,28.355524410184536,13.197850969399674
Ohio,379815,108016,1064448,396138,131320,1058634,35.68187454906205,10.147607022607023,37.41973146526561,12.404664879457867
Oklahoma,136359,32682,385498,156286,30687,388812,35.37216794899066,8.477864995408536,40.1957758505396,7.892503317798834
Oregon,114446,39188,366803,128564,35734,356854,31.20094437613651,10.683663983119004,36.027058685064475,10.01361901505938
Pennsylvania,398207,153802,1141628,414582,155459,1127884,34.880626613923276,13.472164312718329,36.75750343120392,13.783243666901916
Rhode Island,35145,13633,108834,36109,17526,113825,32.292298362644026,12.526416377235055,31.72325938941357,15.397320448056226
South Carolina,166144,44576,473210,166475,54260,476311,35.10999344899727,9.419919274740602,34.95090392621628,11.391716756488933
South Dakota,27882,8527,81361,27512,8732,84378,34.26949029633363,10.480451321886408,32.60565550261917,10.348669084358482
Tennessee,216695,71477,624460,239537,74275,623070,34.70118182109342,11.446209525029625,38.444637039176975,11.92081146580641
Texas,977096,267539,2826700,1040301,311171,2846706,34.56666784589804,9.46471150104362,36.54402667504126,10.930914537714818
Utah,120041,25653,364058,134017,28861,381791,32.97304275692335,7.046404693757588,35.10218941777046,7.559371488589307
Vermont,21257,7830,64872,20348,9387,66098,32.767603896904674,12.06992230854606,30.78459257466187,14.201639989107084
Virginia,273942,105794,805157,290059,113847,817784,34.02342648700812,13.13954918109139,35.46890132357689,13.921402228461305
Washington,217078,77397,661604,230302,86301,661761,32.81086571423389,11.698387555093378,34.8013859988727,13.041113030232971
West Virginia,59355,15189,152243,67383,15124,156128,38.98701418127599,9.976813383866581,43.15881840541094,9.686923549907767
Wisconsin,181487,64092,543737,195194,72354,544964,33.37771753623535,11.787316294458535,35.81777878905763,13.276840305047674
Wyoming,18432,4870,54723,19215,5194,51926,33.68236390548764,8.8993658973375,37.00458344567269,10.002696144513346
